Aerodactylus,Vidovic and Martill,2014,Valid,Late Jurassic,europe
Aerotitan,"Novas,et al.",2012,Valid,Late Cretaceous,sa
Aetodactylus,Myers,2010,Valid,Late Cretaceous,na
Alamodactylus,"Andres,Myers",2013,Valid,Late Cretaceous,na
Alanqa,"Ibrahim,et al.",2010,Valid,Late Cretaceous,africa
Amblydectes,Hooley,1914,Nomen dubium,Early Cretaceous,europe
Angustinaripterus,"He,Xinlu,et al.",1983,Valid,Middle Jurassic,asia
Anhanguera,"Campos,Kellner",1985,Valid,Early Cretaceous,sa
Anurognathus,Döderlein,1923,Valid,Late Jurassic.,europe
Apatomerus,Williston,1903,Misidentification,Lower Cretaceous,na
Arambourgiania,"Nesov,Kanznyshkina,Cherepanov",1987,Valid,Late Cretaceous,asia
Aralazhdarcho,Averianov,2007,Valid,Late Cretaceous,asia
Araripedactylus,Wellnhofer,1977,Valid,Early Cretaceous,sa
Araripesaurus,Price,1971,Valid,Early Cretaceous,sa
Archaeoistiodactylus,"Lü,Fucha",2011,Valid,Middle Jurassic,asia
Ardeadactylus,Bennett,2013,Valid,Late Jurassic,europe
Arthurdactylus,"Frey,Martill",1994,Valid,Early Cretaceous,sa
Aurorazhdarcho,"Frey,Meyer,Tischlinger",2011,Valid,Late Jurassic.,europe
Aussiedraco,"Kellner,Rodrigues,Costa",2011,Valid,Early Cretaceous,australia
Austriadactylus,"Dalla Vecchia,Wild,Reitner",2002,Valid,Upper Triassic,europe
Avgodectes,Peters,2004,Jr synonym,,
Azhdarcho,Nesov,1984,Valid,Late Cretaceous,asia
Bakonydraco,"Weishampel,Jianu",2005,Valid,Late Cretaceous,europe
Banguela,"Headden,Campos",,Valid,Early Cretaceous,sa
Barbosania,"Elgin,Frey",2011,Valid,Late Cretaceous,sa
Batrachognathus,Rjabinin,1948,Valid,Late Jurassic.,asia
Beipiaopterus,J.-C. Lü,2003,Valid,Early Cretaceous,asia
Belonochasma,Broili,1939,Misidentification,,
Bellubrunnus,"Hone,et al.",2012,Valid,Late Jurassic,europe
Bennettazhia,Nesov,1991,Valid,Early Cretaceous,na
Bogolubovia,"Nesov,A. A. Yarkov",1989,Valid,Late Cretaceous,asia
Boreopterus,"Lü,Qiang",2005,Valid,Early Cretaceous,asia
Brachytrachelus,Giebel,1852,Preoccupied,,
Brasileodactylus,Kellner,1984,Valid,Early Cretaceous,sa
Cacibupteryx,"Gasparini,Fernández,de la Fuente",2004,Valid,Late Jurassic,cuba
Caiuajara,"Manzig,et al.",2014,Valid,Late Cretaceous,sa
Camposipterus,"Rodrigues,Kellner",2013,Valid,Early Cretaceous,europe
Campylognathus,Plieninger,1894,Preoccupied,,
Campylognathoides,Strand,1928,Valid,Early Jurassic,europe
Carniadactylus,Dalla Vecchia,2009,Valid,Late Triassic,europe
Cathayopterus,"Wang,Zhonghe",2006,Valid,Early Cretaceous,asia
Caulkicephalus,"Steel,Martill,et al.",2005,Valid,Early Cretaceous,europe
Caupedactylus,Kellner,2013,Valid,Early Cretaceous,sa
Caviramus ,"Fröbisch,Fröbisch",2006,Valid,Upper Triassic,europe
Cearadactylus,"Leonardi,Borgomanero",1985,Valid,Early Cretaceous,sa
Changchengopterus,Lü,2009,Valid,Late Jurassic,asia
Chaoyangopterus,"Wang,Zhou",2003,Valid,Early Cretaceous,asia
Cimoliopterus,"Rodrigues,Kellner",2013,Valid,Late Cretaceous,europe
Cimoliornis,Owen,1846,Nomen nudum,,
Coloborhynchus,Owen,1874,Valid,Early Cretaceous,"europe,na,sa"
Comodactylus,Galton,1981,Valid,Late Jurassic,na
Cretornis,Fritsch,1880,Nomen dubium,Late Cretaceous,europe
Criorhynchus,Owen,1874,Jr synonym,,
Ctenochasma,von Meyer,1852,Valid,Late Jurassic.,europe
Cuspicephalus,"Martill,Etches",2013,Valid,Late Jurassic,europe
Cycnorhamphus,Seeley,1870,Valid,Late Jurassic.,europe
Daitingopterus,"Maisch,Matzke,Ge Sun",2004,Nomen nudum,Late Jurassic,europe
Darwinopterus,"Lü,Unwin,et al.",2009,Valid,Middle Jurassic,asia
Dawndraco,Kellner,2010,Valid,Late Cretaceous,na
Dendrorhynchoides,"S.-A. Ji,Q. Ji,Padian",1999,Valid,Late Jurassic or Early Cretaceous,asia
Dendrorhynchus,"S.-A. Ji,Q. Ji",1998,Preoccupied,,
Dermodactylus,Marsh,1881,Valid,Late Jurassic,na
Dimorphodon,Owen,1859,Valid,Early Jurassic,europe
Diopecephalus,Seeley,1871,Jr synonym,,
Domeykodactylus,"Martill,Frey,et al.",2000,Valid,Early Cretaceous,sa
Doratorhynchus,Seeley,1875,Nomen vanum,Late Jurassic or Early Cretaceous,europe
Dorygnathus,Wagner,1860,Valid,Early Jurassic,europe
Dsungaripterus,Young,1964,Valid,Late Jurassic-Early Cretaceous,"africa,asia"
Elanodactylus,"Andres,Ji, Q.",2008,Valid,Early Cretaceous,asia
Eoazhdarcho,"Lü,Qiang",2005,Valid,Early Cretaceous,asia
Eopteranodon,"Lü, J.C.,Zhang",2005,Valid,Early Cretaceous,asia
Eosipterus,"Ji,Ji",1997,Valid,Early Cretaceous,asia
Eudimorphodon,Zambelli,1973,Valid,Late Triassic,europe
Europejara,"Vullo,et al.",2012,Valid,Early Cretaceous,europe
Eurazhdarcho,"Vremir,et al.",2013,Valid,Late Cretaceous,europe
Eurolimnornis,"Kessler,Jurcsák",1986,Valid,Early Cretaceous,europe
Faxinalipterus,"Bonaparte,,et al.",2010,Valid,Late Triassic,sa
Feilongus,"Wang,,Kellner,,et al.",2005,Valid,Early Cretaceous,asia
Fenghuangopterus,"Lü,Fucha,Chen",2010,Valid,Middle Jurassic,asia
Gallodactylus,Fabre,1974,Jr synonym,,
Geosternbergia,Miller,1978,Jr synonym,,
Gegepterus,"X. Wang,Kellner,et al.",2007,Valid,Early Cretaceous,asia
Germanodactylus,Yang,1964,Valid,Late Jurassic.,europe
Gladocephaloideus,"Lü,Ji,Wei,Liu",2011,Valid,Early Cretaceous,asia
Gnathosaurus,von Meyer,1833,Valid,Late Jurassic,europe
Guidraco,"Wang,et al.",2012,Valid,Early Cretaceous,asia
Gwawinapterus,Arbour Philip J. Currie,2011,Misidentification,Late Cretaceous,na
Hamipterus,"Wang,et al.",2014,Valid,Early Cretaceous,asia
Haopterus,"Wang X.,Lü J.",2001,Valid,Early Cretaceous,asia
Harpactognathus,"Carpenter,Unwin,et al.",2003,Valid,Late Jurassic,na
Hatzegopteryx,"Buffetaut,Grigorescu,Csiki",2002,Valid,Late Cretaceous,europe
Herbstosaurus,Casamiquela,1974,Valid,Late Jurassic,sa
Hongshanopterus,"X. Wang,Campos,et al.",2008,Valid,Early Cretaceous,asia
Huanhepterus,Dong,1982,Valid,Late Jurassic,asia
Huaxiapterus,"J. Lü,C. Yuan",2005,Valid,Early Cretaceous,asia
Ikrandraco,"Wang,et al.",2014,Valid,Early Cretaceous,asia
Ingridia,"Unwin,Martill",2007,Jr synonym,,
Istiodactylus,"Howse,Milner,Martill",2001,Valid,Early Cretaceous,europe
Jeholopterus,"X. Wang,Z. Zhou",2002,Valid,Middle Jurassic or Early Cretaceous,asia
Jianchangnathus,"Cheng,Wang,Jiang,Kellner",2012,Valid,Middle Jurassic,asia
Jianchangopterus,"Lü,Bo",2011,Valid,Middle Jurassic,asia
Jidapterus,"Dong,Sun,Wu",2003,Valid,Early Cretaceous,asia
Kepodactylus,"Harris,Carpenter",1996,Valid,Late Jurassic,na
Kunpengopterus,"X. Wang,Kellner,et al.",2010,Valid,Middle Jurassic,asia
Kryptodrakon,"Andres,Clark,Xu",2014,Valid,Middle Jurassic and/or Late Jurassic,asia
Lacusovagus,Witton,2008,Valid,Early Cretaceous,sa
Laopteryx,Marsh,1881,Valid,Late Jurassic,na
Liaoningopterus,"X.-L. Wang,Z.-H. Zhou",2003,Valid,Early Cretaceous,asia
Liaoxipterus,"Z. Dong,J. Lü",2005,Valid,Early Cretaceous,asia
Lithosteornis,Gervais,1844,Nomen nudum,,
Lonchodectes,Hooley,1914,Valid,Early Cretaceous to Late Cretaceous,europe
Lonchodraco,"Rodrigues,Kellner",2013,Valid,Early Cretaceousto Late Cretaceous,europe
Lonchognathosaurus,"Maisch,Matzke,Ge Sun",2004,Valid,Early Cretaceous,asia
Longchengpterus,"L. Wang,L. Li,et al.",2006,Valid,Early Cretaceous,asia
Ludodactylus,"Frey,Martill,Buchy",2003,Valid,Early Cretaceous,sa
Maaradactylus,Bantim et alii,2014,Valid,Early Cretaceous,sa
Macrotrachelus,Giebel,1852,Jr synonym,,
Mesadactylus,"Jensen,Padian",1989,Valid,Late Jurassic,na
Microtuban,"Elgin,Frey",2011,Valid,Late Cretaceous,africa
Moganopterus,"Lü,et al.",2012,Valid,Early Cretaceous,asia
Montanazhdarcho,"Padian,Horner,de Ricqlès",1993,Valid,Late Cretaceous,na
Muzquizopteryx,"Frey,Buchy,et al.",2006,Valid,Late Cretaceous,na
Mythunga,"Molnar,Thulborn",2008,Valid,Early Cretaceous,australia
Navajodactylus,"Sullivan,Fowler",2011,Valid,Late Cretaceous,na
Nemicolopterus,"X. Wang,Kellner,et al.",2008,Valid,Early Cretaceous,asia
Nesodactylus,Colbert,1969,Valid,Late Jurassic,cuba
Ningchengopterus,J. Lu,2009,Valid,Early Cretaceous,asia
Noripterus,Yang,1973,Valid,Early Cretaceous,asia
Normannognathus,"Buffetaut,J.-J. Lepage,G. Lepage",1998,Valid,Late Jurassic,europe
Nurhachius,"Wang,Kellner,et al.",2003,Valid,Early Cretaceous,asia
Nyctodactylus,Marsh,1881,Jr synonym,,
Nyctosaurus,Marsh,1876,Valid,Late Cretaceous,"na,sa"
Odontorhynchus,Stolley,1936,Preoccupied,,
Oolithorhynchus,Whalley,2000,Nomen nudum,,
Ornithocheirus,Seeley,1869,Valid,Late Jurassic.,"africa,australia,europe,sa"
Ornithodesmus,Seeley,1887,Misidentification,,
Ornithopterus,Fitzinger,1843,Jr synonym,,
Ornithostoma,Seeley,1871,Valid,Late Cretaceous,europe
Osteornis,Gervais,1844,Nomen nudum,,
Pachyrhamphus,Fitzinger,1843,Preoccupied,,
Palaeocursornis,"Kessler,Jurcsák",1986,Valid,Early Cretaceous,europe
Paranurognathus,Peters,2005,Jr synonym,,
Parapsicephalus,von Arthaber,1919,Valid,Early Jurassic,europe
Peteinosaurus,Wild,1978,Valid,Late Triassic,europe
Phobetor,Bakhurina,1986,Jr synonym,,
Phosphatodraco,"Pereda-Suberbiola,Bardet,et al.",2003,Valid,Late Cretaceous,africa
Piksi,Varricchio,2002,Valid,Late Cretaceous,na
Plataleorhynchus,"Howse,Milner",1995,Valid,Late Jurassic to Early Cretaceous,europe
Prejanopterus,"Vidarte,Calvo",2010,Valid,Early Cretaceous,europe
Preondactylus,Wild,1983,Valid,Late Triassic,europe
Pricesaurus,"Bonaparte,Sanchez",1986,Nomen nudum,Early Cretaceous,sa
Procoelosaurus,Atanassov,2002,Nomen ex dissertatione,,
Ptenodactylus,Seeley,1869,Preoccupied,,
Ptenodracon,Lydekker,1888,Jr synonym,,
Pteranodon,Marsh,1876,Valid,Late Cretaceous,na
Pterodactyl,Rafinesque,1815,Valid,Late Jurassic.,"africa,europe"
Pterodactylus,Rafinesque,1815,Valid,Late Jurassic.,"africa,europe"
Pterodaustro,Bonaparte,1970,Valid,Early Cretaceous,sa
Pterofiltrus,"Jiang,Wang",2011,Valid,Early Cretaceous,asia
Pteromimus,Atanassov,2002,Nomen ex dissertatione,,
Pteromonodactylus,Teryaev,1967,Jr synonym,,
Pterorhynchus,"Czerkas,Q. Ji",2002,Valid,Late Jurassic,asia
Pterotherium,Fischer von Waldheim,1813,Jr synonym,,
Puntanipterus,"Bonaparte,Sanchez",1975,Valid,Late Jurassic to Early Cretaceous,sa
Qinglongopterus,"J. Lü,Unwin,et al.",2012,Valid,Middle Jurassic,asia
Quetzalcoatlus,Lawson,1975,Valid,Late Cretaceous,na
Radiodactylus,"Andres,Myers",2013,Valid,Early Cretaceous,na
Raeticodactylus,Stecher,2008,Jr synonym,,
Rhabdopelix,Cope,1870,Misidentification,,
Rhamphinion,Padian,1984,Valid,Early Jurassic,na
Rhamphocephalus,Seeley,1880,Valid,midjur,europe
Rhamphorhynchus,von Meyer,1846,Valid,Late Jurassic.,"africa,europe"
Santanadactylus,de Buisonjé,1980,Valid,Early Cretaceous,sa
Scaphognathus,Wagner,1861,Valid,Late Jurassic.,europe
Sericipterus,"Andres,Clark,X. Xing",2010,Valid,Late Jurassic,asia
Shenzhoupterus,"J. Lü,Unwin,et al.",2008,Valid,Early Cretaceous,asia
Sinopterus,"X. Wang,Z. Zhou",2003,Valid,Early Cretaceous,asia
Siroccopteryx,"Mader,Kellner",1999,Jr synonym,,
Sordes,Sharov,1971,Valid,Late Jurassic.,asia
Sultanuvaisia,Nesov,1981,Misidentification,Late Cretaceous,asia
Tapejara,Kellner,1989,Valid,Early Cretaceous,sa
Tendaguripterus,"Unwin,Heinrich",1999,Valid,Late Jurassic,africa
Thalassodromeus,"Kellner,Campos",2002,Valid,Early Cretaceous,sa
Tropeognathus,Wellnhofer,1987,Jr synonym,,
Tupandactylus,"Kellner,Campos",2007,Valid,Early Cretaceous,sa
Tupuxuara,"Kellner,Campos",1988,Valid,Late Cretaceous,"na,sa"
Uktenadactylus,"Rodrigues,Kellner",2008,Disputed,Early Cretaceous,na
Unwindia,Martill,2011,Valid,Late Cretaceous,sa
Utahdactylus,"Czerkas,Mickelson",2002,Disputed,,
Vectidraco,"Naish,Simpson,Dyke",2013,Valid,Early Cretaceous,europe
Volgadraco,"Averianov,Arkhangelsky,Pervushov",2008,Valid,Late Cretaceous.,asia
Wenupteryx,"Codorniú,Gasparini",2013,Valid,6|Late Jurassic]],sa
Wukongopterus,"X. Wang,Kellner,et al.",2009,Valid,Middle Jurassic,asia
Wyomingopteryx,Bakker,1994,Nomen nudum,,
Yixianopterus,"J. Lü,S. Ji,et al.",2006,Valid,Early Cretaceous,asia
Zhejiangopterus,"Z. Cai,F. Wei",1994,Valid,Late Cretaceous,asia
Zhenyuanopterus,J. Lü,2010,Valid,Early Cretaceous,asia
